,Country Name,Country Code,Series Code,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
592,Tunisia,TUN,SP.POP.TOTL.MA.ZS,49.8035537939756,49.73473293474049,49.6650719363342,49.606682337245296,49.5675338827514,49.5501569275568,49.550730060372,49.56284814023579,49.5777539284605,49.5891482405134
595,Turkey,TUR,SP.POP.TOTL.MA.ZS,49.1709163648985,49.17358023355761,49.181102032001,49.195451330352,49.2173066415255,49.24786166154411,49.2849607042103,49.3221867986785,49.3514358757557,49.3675428019615
598,Turkmenistan,TKM,SP.POP.TOTL.MA.ZS,49.1996445355654,49.2092303849006,49.21941734980929,49.2284577350336,49.235052377390296,49.238861247346705,49.2401523047443,49.2392625957502,49.236649571682996,49.232597165367295
601,Turks and Caicos Islands,TCA,SP.POP.TOTL.MA.ZS,,,,,,,,,,
604,Tuvalu,TUV,SP.POP.TOTL.MA.ZS,,,,,,,,,,
607,Uganda,UGA,SP.POP.TOTL.MA.ZS,49.0650173798119,49.064611805420896,49.07470527898129,49.0932968641506,49.118347785442495,49.14961025794911,49.185936905919895,49.223921103571904,49.2599264592191,49.2918585076846
610,Ukraine,UKR,SP.POP.TOTL.MA.ZS,46.156096523772,46.173040958837205,46.20256705965961,46.2348938286952,46.262705124987,46.2838778658214,46.3000723705523,46.312249303092,46.3226539343423,46.3329667134261
613,United Arab Emirates,ARE,SP.POP.TOTL.MA.ZS,74.31444034936379,73.43699646385679,72.3333718928261,71.2518702148492,70.3975732859356,69.84137870253899,69.51975112588471,69.3633120499024,69.2573357872442,69.12105678233439
616,United Kingdom,GBR,SP.POP.TOTL.MA.ZS,49.15883031440389,49.1925275822042,49.22622740377,49.258548760981,49.2885280292943,49.3158988459733,49.341126606296996,49.36472543924211,49.3874655503931,49.409912240526
619,United States,USA,SP.POP.TOTL.MA.ZS,49.400396620429106,49.4165950723734,49.4337037143922,49.449326527142894,49.461778831596405,49.4706871974314,49.476617725645596,49.4799853460876,49.481512792200796,49.481784355639896
622,Uruguay,URY,SP.POP.TOTL.MA.ZS,48.19372702160871,48.199557558135204,48.2080499528535,48.218950553149206,48.231703689288395,48.2457925919479,48.261603977134705,48.2784573057064,48.296329206399896,48.3151381786767
